,Sem1,Sem2,Sem3,Sem4,Sem5,Sem6,Sem7,Sem8,Year
2021_01,66.50,73.33,79.70,70.67,70.50,74.43,71.29,72.00,2021
2021_02,82.63,84.11,93.10,81.89,81.63,68.00,76.00,70.00,2021
2021_03,86.25,87.89,91.20,92.00,96.00,92.57,94.57,85.50,2021
2021_04,76.63,79.56,77.90,85.44,83.13,82.57,71.86,73.00,2021
2021_05,77.50,78.89,74.50,79.33,83.13,77.71,70.29,70.25,2021
2021_06,91.25,89.78,87.80,86.00,89.63,73.43,76.57,80.00,2021
2021_07,92.50,85.44,79.60,88.33,79.38,83.29,77.57,77.75,2021
2021_08,81.25,85.22,88.30,94.11,89.13,78.29,84.14,78.75,2021
2021_09,91.88,89.44,89.60,83.44,77.00,71.43,75.57,75.00,2021
2021_10,72.75,76.22,79.90,77.56,72.75,69.86,79.43,73.75,2021
2021_11,66.75,71.44,69.10,61.11,68.25,62.86,61.43,65.00,2021
2021_12,95.00,77.78,67.00,83.33,70.63,70.29,72.29,66.25,2021
2021_13,68.38,70.33,74.30,70.78,67.88,70.43,71.29,72.75,2021
2021_14,80.63,90.22,93.80,83.00,79.25,76.00,75.57,74.00,2021
2021_15,69.63,83.44,62.00,63.33,67.75,68.71,71.29,66.25,2021
2021_16,93.13,97.56,98.20,95.78,86.00,77.86,74.29,70.00,2021
2021_17,83.00,88.67,80.20,85.33,83.38,90.14,80.57,89.00,2021
2021_18,74.88,73.11,72.90,67.44,70.88,80.86,78.00,73.25,2021
2021_19,95.63,92.33,98.00,99.00,98.88,93.86,97.29,97.75,2021
2021_20,94.38,92.11,93.30,94.44,98.88,96.29,98.57,96.25,2021
2021_21,84.13,83.67,85.10,86.44,91.13,87.86,72.57,77.75,2021
2021_22,68.13,66.11,69.50,60.00,64.00,62.86,60.00,62.50,2021
2021_23,73.75,74.44,69.00,72.11,69.63,71.29,62.14,67.50,2021
2021_24,83.13,85.33,85.40,91.89,89.38,84.29,87.71,92.50,2021
2021_25,89.38,85.00,93.50,96.44,94.88,92.00,95.14,93.50,2021
2021_26,92.88,90.00,92.00,90.22,76.25,60.71,63.57,67.50,2021
2021_27,69.63,71.33,74.20,73.56,78.38,86.29,91.43,89.50,2021
2021_28,70.25,66.11,64.50,63.33,64.00,65.00,60.00,61.25,2021
2021_29,69.13,67.78,64.00,60.00,60.38,60.00,62.14,62.50,2021
2021_30,96.25,96.89,95.20,94.22,97.25,91.71,96.00,95.75,2021
2021_31,99.38,98.89,98.10,94.00,89.13,91.14,96.86,95.50,2021
2021_32,98.00,97.78,92.90,79.67,80.50,83.14,83.43,83.75,2021
2021_33,95.38,93.11,94.70,98.67,93.25,95.71,90.14,93.00,2021
2021_34,63.75,63.33,64.20,60.00,60.88,68.57,60.00,61.25,2021
2021_35,86.38,91.89,83.00,75.67,74.63,92.43,65.00,73.75,2021
2021_36,70.00,71.13,72.10,70.78,72.00,74.14,77.57,83.50,2021
2021_37,85.88,88.33,82.90,84.78,89.63,86.43,78.71,85.25,2021
2021_38,94.29,94.67,75.90,66.44,66.25,74.57,70.00,70.50,2021
2021_39,93.13,94.44,92.10,91.22,89.63,91.43,92.29,86.75,2021
2021_40,85.13,83.33,81.30,82.67,80.25,74.57,82.86,90.50,2021
2021_41,64.25,65.22,64.20,69.11,69.13,78.57,76.14,76.00,2021
2021_42,71.88,78.89,69.90,70.00,63.75,69.71,82.57,78.00,2021
2021_43,80.50,76.67,73.30,82.00,83.63,77.43,81.29,77.75,2021
2021_44,92.75,96.88,94.00,98.33,100.00,98.29,98.00,96.25,2021
2021_45,72.25,78.89,60.30,63.56,62.88,61.43,61.43,62.50,2021
2021_46,95.00,94.56,90.70,97.22,80.50,88.86,82.86,83.75,2021
2021_47,61.25,64.44,65.50,65.33,65.13,68.14,70.57,65.00,2021
2021_48,93.88,96.67,98.00,97.22,98.63,97.14,97.86,97.50,2021
2021_49,93.13,89.00,90.20,85.22,74.38,82.86,83.86,85.75,2021
2021_50,83.38,83.33,74.50,67.78,63.13,67.86,62.14,62.50,2021
2021_51,83.88,89.00,91.00,97.00,96.25,91.57,96.43,98.75,2021
2022_01,87.63,95.63,95.40,90.11,97.13,91.29,92.86,95.00,2022
2022_02,70.63,73.13,67.50,62.78,60.00,65.71,65.00,71.75,2022
2022_03,97.00,85.88,75.00,81.33,73.25,69.00,74.71,74.75,2022
2022_04,97.00,92.50,95.10,82.89,75.88,80.71,81.29,73.75,2022
2022_06,78.13,86.88,85.80,95.78,86.25,75.00,82.57,78.00,2022
2022_07,78.13,75.13,79.70,73.67,68.25,65.00,70.86,74.25,2022
2022_08,69.38,72.88,62.20,64.44,61.88,65.29,61.43,71.50,2022
2022_09,88.50,88.13,68.30,66.11,64.38,65.71,60.71,76.25,2022
2022_10,94.75,96.00,90.90,96.22,92.88,73.86,80.00,76.25,2022
2022_11,86.88,95.25,86.50,95.22,93.50,72.14,79.29,83.75,2022
2022_12,98.13,100.00,98.20,98.78,99.38,100.00,98.43,99.00,2022
2022_13,94.00,96.63,95.30,97.78,97.25,93.43,69.43,84.00,2022
2022_14,95.63,96.00,98.50,99.33,97.75,97.14,98.43,97.50,2022
2022_15,82.63,81.38,69.50,68.33,61.25,62.86,60.71,71.25,2022
2022_16,80.38,79.13,75.10,93.00,90.00,84.57,80.86,73.75,2022
2022_17,93.13,97.00,99.00,97.22,99.00,97.71,98.29,98.00,2022
2022_18,88.50,90.38,91.50,66.67,69.88,68.71,63.57,66.25,2022
2022_20,90.50,93.38,89.50,87.22,67.75,70.71,67.57,71.25,2022
2022_21,78.88,79.75,71.60,66.67,62.63,66.57,60.00,64.75,2022
2022_22,80.25,76.50,66.60,66.11,62.75,65.86,61.43,66.25,2022
2022_23,75.63,68.75,69.90,67.78,63.13,68.00,60.71,65.50,2022
2022_24,82.13,79.13,68.50,64.44,62.50,66.43,60.00,63.75,2022
2022_25,78.75,76.25,83.00,80.22,72.50,70.71,63.57,73.00,2022
2022_26,79.38,74.00,69.80,64.44,61.38,63.57,60.00,65.25,2022
2022_27,72.75,76.25,68.10,68.33,60.63,67.14,64.29,67.50,2022
2022_28,94.38,97.00,98.50,99.00,100.00,98.00,99.71,98.00,2022
2022_29,90.13,87.75,81.30,85.00,63.63,74.43,70.57,78.00,2022
2022_30,86.88,72.50,71.70,63.89,65.13,68.57,62.14,61.25,2022
2022_31,75.00,76.00,64.50,60.56,60.00,55.71,62.14,65.00,2022
2022_33,88.75,88.38,83.70,92.22,90.75,84.00,72.14,85.25,2022
2022_34,76.25,80.63,84.50,85.11,63.75,73.71,63.57,73.00,2022
2022_35,76.38,80.75,84.50,83.56,88.63,85.86,87.29,94.50,2022
2022_36,66.50,77.75,75.50,74.56,75.50,70.86,67.86,72.50,2022
2022_37,90.75,90.38,79.10,89.33,77.75,69.86,70.00,77.75,2022
2022_38,83.75,86.25,80.80,81.67,85.00,75.71,73.14,75.00,2022
2022_39,95.13,92.88,94.00,93.33,92.50,87.14,73.71,85.00,2022
2022_40,75.25,79.38,76.20,79.22,84.88,79.86,70.00,73.75,2022
